UniProt	GeneName
Q9H9K5	ERVMER34-1
Q96MG2	JSRP1
Q9UBP8	KAAG1
Q8N6L0	CCDC155
Q9H1A3	METTL9
Q9NYR9	NKIRAS2
Q8IY47	KBTBD2
Q8NAB2	KBTBD3
Q9NVX7	KBTBD4
A1L020	MEX3A
Q5SR56	MFSD14B
P55082	MFAP3
Q8N468	MFSD4A
P01861	IGHG4
Q8IYA8	CCDC36
O60575	SPINK4
Q9Y4A0	JRKL
Q6NY19	KANK3
Q8N3J2	METTL4
Q9NRN9	METTL5
Q7Z4H8	KDELC2
Q8NAX2	KDF1
Q9NQC8	IFT46
Q5T764	IFIT1B
Q6U949	IGF2-AS
P0CF74	IGLC6
A6NGN9	IGLON5
Q6UXB1	IGFL3
P0DOX6	null
A8MYZ5	IQCF6
P0C7L1	SPINK8
Q6ZRS4	ITPRID1
O75564	JRK
Q5VZ66	JAKMIP3
Q6NUN7	JHY
Q15040	JOSD1
Q15053	KIAA0040
Q14695	KIAA0087
O15063	KIAA0355
Q6ZU52	KIAA0408
O60268	KIAA0513
O60303	KIAA0556
Q8NCT3	KIAA0895
Q6ICG6	KIAA0930
Q96AT1	KIAA1143
Q9ULL0	KIAA1210
Q86T90	KIAA1328
A8MWY0	KIAA1324L
Q9HCM1	KIAA1551
Q9HCI6	KIAA1586
Q5VZ46	KIAA1614
Q9BY89	KIAA1671
Q5JYT7	KIAA1755
Q6NSI8	KIAA1841
Q7Z3Y8	KRT27
Q7Z3Y7	KRT28
Q6A163	KRT39
Q14532	KRT32
Q0VF49	KIAA2012
Q8IYS2	KIAA2013
Q5HYC2	KIAA2026
Q01546	KRT76
Q86Y46	KRT73
Q5XKE5	KRT79
Q68EN5	KIAA0895L
Q6ZMY9	ZNF517
Q8TB69	ZNF519
Q02386	ZNF45
Q9HAH1	ZNF556
P51523	ZNF84
P10073	ZSCAN22
Q9Y2P0	ZNF835
Q96EG3	ZNF837
Q15776	ZKSCAN8
Q96E35	ZMYND19
Q9HBT7	ZNF287
Q96JC4	ZNF479
Q86XF7	ZNF575
Q96I27	ZNF625
Q9NW07	ZNF358
Q9BUY5	ZNF426
Q8N7K0	ZNF433
O75346	ZNF253
A8MQ14	ZNF850
O60290	ZNF862
O14978	ZNF263
Q8NB15	ZNF511
Q14586	ZNF267
Q08ER8	ZNF543
Q8N9F8	ZNF454
Q8NEK5	ZNF548
Q8N587	ZNF561
O43309	ZSCAN12
Q92670	ZNF75CP
Q969W8	ZNF566
Q8N184	ZNF567
Q3MJ62	ZSCAN23
Q96N20	ZNF75A
Q9H0M5	ZNF700
Q9NV72	ZNF701
Q6ZN19	ZNF841
Q6PK81	ZNF773
Q8N972	ZNF709
Q6N043	ZNF280D
P52740	ZNF132
P52741	ZNF134
Q9C0B9	ZCCHC2
Q9NZV7	ZIM2
Q96MV8	ZDHHC15
O60293	ZFC3H1
Q9UK13	ZNF221
Q9UK12	ZNF222
Q969S3	ZNF622
Q96NC0	ZMAT2
A6NK53	ZNF233
Q96N58	ZNF578
Q86V71	ZNF429
Q8NDW4	ZNF248
Q8TF32	ZNF431
Q9NXT0	ZNF586
Q147U1	ZNF846
Q8NDP4	ZNF439
Q7Z2F6	ZNF720
Q6P9G9	ZNF449
P51814	ZNF41
Q8N3J9	ZNF664
Q9P217	ZSWIM5
P17023	ZNF19
Q15940	ZNF726P1
O43830	ZNF73
Q8N988	ZNF557
P51504	ZNF80
P17040	ZSCAN20
P17031	ZNF26
Q8N782	ZNF525
Q9NYT6	ZNF226
Q86WZ6	ZNF227
Q9UJW7	ZNF229
Q14590	ZNF235
Q96N38	ZNF714
Q9H7R0	ZNF442
O43296	ZNF264
Q8N0Y2	ZNF444
P0CJ79	ZNF888
Q53GI3	ZNF394
B4DX44	ZNF736
Q6ZN11	ZNF793
Q8WXB4	ZNF606
Q8N1G0	ZNF687
Q7Z398	ZNF550
P17022	ZNF18
Q0VGE8	ZNF816
O75541	ZNF821
Q8N883	ZNF614
Q9H963	ZNF702P
P98169	ZXDB
Q8IWY8	ZSCAN29
Q96HQ0	ZNF419
Q9Y2Q1	ZNF257
Q8IZ26	ZNF34
A8MTY0	ZNF724
Q8TC21	ZNF596
P17036	ZNF3
Q9HCZ1	ZNF334
Q68EA5	ZNF57
P16415	ZNF823
Q86XN6	ZNF761
Q0D2J5	ZNF763
Q96H86	ZNF764
Q6ZMW2	ZNF782
Q9Y2H8	ZNF510
P0DPD5	ZNF723
A8MUV8	ZNF727
P0DKX0	ZNF728
Q8IZM8	ZNF654
Q5EBM4	ZNF542P
Q96SK3	ZNF607
Q9UJ78	ZMYM5
O95789	ZMYM6
Q9UII5	ZNF107
Q96MR9	ZNF560
P51522	ZNF83
A6NK75	ZNF98
Q5JPB2	ZNF831
Q6ZTB9	ZNF833P
Q96C28	ZNF707
Q96LW9	ZSCAN31
Q9BR11	ZSWIM1
Q9BTP6	ZBED2
Q9NPG8	ZDHHC4
Q9C0D4	ZNF518B
O15060	ZBTB39
Q9NUE0	ZDHHC18
Q8TBF4	ZCRB1
Q8WVZ1	ZDHHC19
P52744	ZNF138
Q9H5U6	ZCCHC4
Q96IQ9	ZNF414
Q06732	ZNF33B
Q9H091	ZMYND15
Q8NB42	ZNF527
Q2M3X9	ZNF674
Q6PDB4	ZNF880
Q9NWS9	ZNF446
Q9NSD4	ZNF275
Q8IVP9	ZNF547
Q5CZA5	ZNF805
Q6P9A3	ZNF549
O15014	ZNF609
P17024	ZNF20
Q6V9R5	ZNF562
Q0IIN9	ZNF252P-AS1
Q6NSZ9	ZSCAN25
Q8N1W2	ZNF710
O15535	ZSCAN9
O43149	ZZEF1
Q8NCN2	ZBTB34
Q9UFB7	ZBTB47
Q9UL59	ZNF214
P0C6A0	ZGLP1
Q09FC8	ZNF415
Q6P1L6	ZNF343
Q9HCG1	ZNF160
Q14929	ZNF169
O75123	ZNF623
Q9H609	ZNF576
Q96CX3	ZNF501
Q96MU6	ZNF778
O15015	ZNF646
Q6P280	ZNF529
B4DU55	ZNF879
Q8N393	ZNF786
Q5T5D7	ZNF684
Q96CS4	ZNF689
B7Z6K7	ZNF814
A8K554	ZNF815P
Q8N823	ZNF611
P17097	ZNF7
P51508	ZNF81
Q494X3	ZNF404
Q8TCH9	null
Q66K41	ZNF385C
A0A1B0GTU1	ZC3H11B
P0C7U3	ZDHHC11B
O95625	ZBTB11
Q13398	ZNF211
Q9UDV6	ZNF212
Q96PE6	ZIM3
Q9BYN7	ZNF341
Q8WTX9	ZDHHC1
Q9H8G1	ZNF430
Q8N446	ZNF843
Q7Z4V0	ZNF438
P17039	ZNF30
Q8IYI8	ZNF440
P59923	ZNF445
Q9UJN7	ZNF391
Q8N9Z0	ZNF610
Q9UJU3	ZNF112
Q03924	ZNF117
Q75MW2	ZNF767P
A8K0R7	ZNF839
A6NDX5	ZNF840P
Q7Z7L9	ZSCAN2
Q8IYH5	ZZZ3
Q8NF64	ZMIZ2
Q96GY0	ZC2HC1A
Q6UX98	ZDHHC24
Q6ZMS4	ZNF852
Q9H0D2	ZNF541
Q6PG37	ZNF790
Q96NL3	ZNF599
Q3KQV3	ZNF792
P17017	ZNF14
Q8IZC7	ZNF101
Q9BV97	ZNF747
Q9NQZ8	ZNF71
Q9BR84	ZNF559
Q8TA94	ZNF563
Q49A33	ZNF876P
E7ETH6	ZNF587B
Q9HCK1	ZDBF2
Q96NJ6	ZFP3
Q3SY52	ZIK1
Q8TF45	ZNF418
Q12901	ZNF155
Q5T7W0	ZNF618
Q96NJ3	ZNF285
Q8TF39	ZNF483
Q13360	ZNF177
P17025	ZNF182
Q9P0T4	ZNF581
Q96ND8	ZNF583
Q8N8H1	ZNF321P
Q96BR6	ZNF669
Q3ZCT1	ZNF260
Q9BY31	ZNF717
Q9HCE3	ZNF532
A6NNF4	ZNF726
P0CG24	ZNF883
Q5FWF6	ZNF789
O95780	ZNF682
Q6ZNG1	ZNF600
Q96K75	ZNF514
Q7Z7K2	ZNF467
P17098	ZNF8
Q9C0G0	ZNF407
P17035	ZNF28
Q9P2E3	ZNFX1
Q68DY9	ZNF772
Q96FV3	TSPAN17
P0C672	TSPAN19
A6NKD2	TSPY2
P0CV98	TSPY3
P0CV99	TSPY4
Q8N831	TSPYL6
Q8NA56	TTC29
Q5W5X9	TTC23
Q6PID6	TTC33
A6NLP5	TTC36
Q6ZVT0	TTLL10
O95922	TTLL1
Q9BWV7	TTLL2
O00295	TULP2
O15050	TRANK1
Q86TN4	TRPT1
Q12999	TSPAN31
Q96NA8	TSNARE1
P0CW00	TSPY8
H0UI37	TSTD3
Q8N584	TTC39C
Q96N46	TTC14
Q8NEE8	TTC16
Q96AE7	TTC17
Q8NFU3	TSTD1
Q5T7W7	TSTD2
Q5TAA0	TTC22
Q8N5M4	TTC9C
Q8NHM4	PRSS3P2
Q9NV12	TMEM140
Q5U3C3	TMEM164
Q8N616	LINC00311
Q96Q45	TMEM237
A5PLL7	TMEM189
B3SHH9	TMEM114
Q66K66	TMEM198
Q9H2Q1	TMEM133
Q9H6X4	TMEM134
A0PK05	TMEM72
A0PJX8	TMEM82
Q6UXU6	TMEM92
Q9H3S3	TMPRSS5
Q8N4H5	TOMM5
Q96J77	TPD52L3
Q6NT89	TRNP1
O95900	TRUB2
P0DJG4	THEGL
Q9BSF4	TIMM29
A6NGC4	TLCD2
B4DJY2	TMEM233
Q6ZTW0	TPGS1
P0DPA3	SNHG28
Q13487	SNAPC2
O75971	SNAPC5
Q96L94	SNX22
Q5TF21	SOGA3
Q5MJ68	SPDYC
Q495Y8	SPDYE2
Q2M3C7	SPHKAP
Q5W111	SPRYD7
Q96RM1	SPRR2F
Q6IQ16	SPOPL
Q96LK8	SPATA32
A0A1B0GWG4	SERTM2
Q6ZUI0	TPRG1
Q8N7U7	TPRX1
Q17RH7	TPRXL
Q5T6R2	TPTE2P1
A6NJY1	SLC9B1P1
Q8N6Q1	TMCO5A
Q6ZUK4	TMEM26
Q9BQJ4	TMEM47
Q8NDY8	TMEM52
Q6P2H8	TMEM53
P0C7V6	SUPT20HL2
Q9H0E3	SAP130
Q9H930	SP140L
Q86U17	SERPINA11
Q9BVQ7	SPATA5L1
Q5VX52	SPATA1
P0CW21	SPART-AS1
Q6Q759	SPAG17
Q8N4L4	SPEM1
Q0P670	SPEM2
Q99865	SPIN2A
Q8N6L7	TMEM252
P0C7T8	TMEM253
Q8WUH6	TMEM263
A0A1B0GVY4	SMIM31
A0A1B0GUA5	SMIM32
A0A1B0GVT2	SMIM36
Q96EX1	SMIM12
Q9BX74	TM2D1
K7EJ46	SMIM22
A6NLE4	SMIM23
Q9NUR3	TMEM74B
Q5TAH2	SLC9C2
Q8N2M4	TMEM86A
Q8NBN3	TMEM87A
Q6IEE8	SLFN12L
P0DI80	SMIM6
Q96KF7	SMIM8
Q2TAL5	SMTNL2
Q8N4H0	SPATA6L
Q7Z572	SPATA21
Q5T0L3	SPATA46
P55822	SH3BGR
Q9NP50	SINHCAF
A0PJW6	TMEM223
B8ZZ34	SHISA8
C9JQI7	TMEM232
A4D0T7	SMIM30
Q5VZI3	TMEM268
A6NCI5	LINC00862
P0DL12	SMIM17
A0A1B0GU29	SMIM28
Q99805	TM9SF2
Q5VUG0	SFMBT2
Q71RC9	SMIM5
Q9BQ49	SMIM7
A6NFE2	SMCO2
A2RU48	SMCO3
Q9HBX3	SND1-IT1
P0CG40	SP9
A6NHP3	SPDYE2B
P84101	SERF2
Q53EL9	SEZ6
Q587I9	SFT2D3
Q6NUQ4	TMEM214
Q8TCY0	SMIM11B
Q9H0R3	TMEM222
Q96A28	SLAMF9
P02814	SMR3B
Q8N9S9	SNX31
Q3ZLR7	SUPT20HL1
Q147U7	SMCO1
A8MWL6	null
Q8ND04	SMG8
Q6UX34	SNORC
Q9BV90	SNRNP25
Q96HH6	TMEM19
Q5JXX7	TMEM31
Q9NW97	TMEM51
Q8N0U2	TMEM61
Q96MH6	TMEM68
Q5SWH9	TMEM69
Q9C0B7	TANGO6
Q8NFV5	SPDYE1
P0CI01	SPDYE6
Q495Y7	SPDYE7P
Q8N9V7	TOPAZ1
Q9NXH8	TOR4A
Q6UWV7	SHISAL2A
A0A1B0GVZ9	TMEM269
A0A286YF58	TMEM271
A0A1B0GTI8	TMEM272
Q7Z3B0	SMIM15
Q9BX73	TM2D2
A0A1B0GUW7	SMIM27
Q5JXA9	SIRPB2
Q8ND83	SLAIN1
Q9NWH9	SLTM
Q9BVW6	SMIM2
Q9BZD6	PRRG4
A6NMZ2	SNTN
Q9NRS6	SNX15
Q6UXR4	SERPINA13P
Q86W54	SPATA24
Q6BEB4	SP5
Q96KW9	SPACA7
A2RRL7	TMEM213
Q8IW03	SIAH3
O15321	TM9SF1
Q68D06	SLFN13
Q0VAQ4	SMAGP
Q9BSF0	C2orf88
Q9BVK6	TMED9
Q9NPB0	SAYSD1
O95473	SYNGR4
Q8NCR6	SMRP1
Q8WWA1	TMEM40
Q7Z614	SNX20
Q96MV1	TMEM56
Q86XE0	SNX32
Q3KNW5	SLC10A6
O15417	TNRC18
Q8IUW3	SPATA2L
P0DMR2	SCGB1C2
A6NJ88	SAGE2P
Q9NS93	TM7SF3
Q9Y2S6	TMA7
H3BMG3	SMKR1
Q6UXZ0	TMIGD1
Q969T3	SNX21
Q969K7	TMEM54
Q9H2L4	TMEM60
Q0P6H9	TMEM62
Q6YI46	TMEM64
Q6PI78	TMEM65
Q9BWJ5	SF3B5
A8MV23	SERPINE3
P0DME0	SETSIP
A6NKC9	SH2D7
P58511	SMIM11A
Q5T292	TMEM273
P0DKX4	SMIM18
Q9BZJ4	SLC25A39
P78383	SLC35B1
Q8TBE7	SLC35G2
P0DKV0	SPATA31C1
B4DYI2	SPATA31C2
Q6ZQQ2	SPATA31D1
P0C874	SPATA31D3
Q6ZUB1	SPATA31E1
Q96JW4	SLC41A2
Q9H9S3	SEC61A2
Q96CW6	SLC7A6OS
Q495N2	SLC36A3
O75995	SASH3
Q93073	SECISBP2L
Q9Y3D9	MRPS23
Q9Y267	SLC22A14
Q9BS91	SLC35A5
Q5T1Q4	SLC35F1
Q8WV83	SLC35F5
A6NKX4	SLC22A31
Q5BKX6	SLC45A4
Q5TGI4	SAMD5
Q9UPN6	SCAF8
Q8NAT2	TDRD5
O60522	TDRD6
Q6SPF0	SAMD1
Q2M3M2	SLC5A9
A3KN83	SBNO1
B5MCY1	TDRD15
Q96FV2	SCRN2
C9J3V5	TEX22
Q9NQF3	SERHL
Q6PDA7	SPAG11A
Q96NB2	SFXN2
Q9BWM7	SFXN3
Q5VXU9	SHOC1
Q9P1V8	SAMD15
Q5VZ19	TDRD10
Q8WU76	SCFD2
A0A286YEV6	SCYGR4
A0A286YF46	SCYGR5
Q8N228	SCML4
Q8NA77	TEX19
Q9H4I8	SERHL2
Q3KQZ1	SLC25A35
Q6ICL7	SLC35E4
Q8N808	SLC35G3
Q9BXP2	SLC12A9
L0R6Q1	SLC35A4
Q8N413	SLC25A45
Q96K37	SLC35E1
Q86VE3	SATL1
Q9NQW1	SEC31B
Q587J7	TDRD12
Q1EHB4	SLC5A12
Q9NXF1	TEX10
Q9BXU0	TEX12
Q8N6G2	TEX26
Q68CR1	SEL1L3
Q5TG53	SERTAD4-AS1
Q9UHA2	SS18L2
P0CK96	SLC35E2B
P0CK97	SLC35E2A
Q9HBR0	SLC38A10
Q5H9E4	SLC25A53
Q96GZ6	SLC41A3
Q8NBI5	SLC43A3
Q96NU1	SAMD11
Q7Z3H4	SAMD7
Q96IW7	SEC22A
Q58EX2	SDK2
Q9BSV6	TSEN34
Q8IUI4	SNX29P2
Q5TZJ5	SPATA31A1
Q8TEE9	SAP25
Q5VXD3	SAMD13
Q969E2	SCAMP4
Q9NVU7	SDAD1
Q9NVD3	SETD4
Q8IZM9	SLC38A6
P60059	SEC61G
Q4G0G5	SCGB2B2
A0A286YF60	SCYGR3
A0A286YFG1	SCYGR8
A0A286YEX9	SCYGR10
Q96GD3	SCMH1
Q9Y6X3	MAU2
Q5TEA6	SEL1L2
Q6NUJ1	PSAPL1
Q9BY50	SEC11C
Q96NL6	SCLT1
Q9BVL4	SELENOO
P0C7Q5	SLC35G4
Q5SSQ6	SAPCD1
Q8IVN8	SBSPON
P0C7V7	SEC11B
Q9NQ03	SCRT2
Q8WWX9	SELENOM
Q8N6R1	SERP2
Q8NE22	SETD9
Q2M3G4	SHROOM1
Q7Z4S9	SH2D6
O43166	SIPA1L1
A6NHL2	TUBAL3
Q8IZP1	TBC1D3
Q6P1K8	GTF2H2C
P59543	TAS2R20
P59536	TAS2R41
P59539	TAS2R45
Q96CE8	TM4SF18
Q9NVG8	TBC1D13
Q0IIM8	TBC1D8B
Q8N806	UBR7
Q9HAC8	UBTD1
P0C7P4	UQCRFS1P1
Q8TDW5	SYTL5
Q6NVU6	UFSP1
Q8N7F7	UBL4B
Q5VXT5	SYPL2
Q96LJ8	UBXN10
A6NDN8	null
Q9H7V2	SYNDIG1
Q9UMZ2	SYNRG
P35325	SPRR2B
A8MT33	SYCE1L
A1L190	SYCE3
Q9BQS2	SYT15
P35504	UGT1A5
Q96A25	TMEM106A
Q9BXQ6	TMEM121B
Q9Y5J6	TIMM10B
Q8N4L1	TMEM151A
Q8IW70	TMEM151B
A6NC51	TMEM150B
Q96EM0	L3HYPDH
Q9Y2B4	TP53TG5
Q9P1P4	TAAR3P
Q9H9P5	UNKL
Q96BN2	TADA1
Q9H5J8	TAF1D
Q9Y6J9	TAF6L
Q96S82	UBL7
Q7Z422	SZRD1
Q9C0D5	TANC1
Q96DN5	TBC1D31
A0A087WXS9	TBC1D3I
Q5QJ74	TBCEL
P0CG35	TMSB15B
Q9HA65	TBC1D17
Q8N5T2	TBC1D19
P0C7X1	TBC1D3H
B9A6J9	TBC1D3L
Q9HAU6	TPT1P8
Q8IYN2	TCEAL8
Q8N6K0	TEX29
Q53QW1	TEX44
Q8NA69	TEX45
H3BTG2	TEX46
A0A1B0GTD5	TEX49
A0A1B0GTY4	TEX50
A0A1B0GUA7	TEX51
A6NCN8	TEX52
Q8N6V9	TEX9
Q8WUA4	GTF3C2
Q969F1	GTF3C6
Q92575	UBXN4
Q9UK61	FAM208A
Q86UD7	TBC1D26
A6NER0	TBC1D3F
Q8IYX1	TBC1D21
Q9H3H9	TCEAL2
Q96MN5	TCEANC2
Q5H9L2	TCEAL5
Q6IPX3	TCEAL6
Q9UHQ7	TCEAL9
Q17R31	TATDN3
Q9H853	TUBA4B
Q9UPU7	TBC1D2B
Q96SF2	CCT8L2
Q2M2D7	TBC1D28
Q9UFV1	TBC1D29
Q7RTU0	TCF24
Q92526	CCT6B
Q6URK8	TEPP
Q9Y5Q9	GTF3C3
A0A087X179	TBC1D3E
O95759	TBC1D8
P0DPI4	TRBD1
Q3Y452	TDRG1
Q93075	TATDN2
O60347	TBC1D12
Q66K14	TBC1D9B
P51864	TDGF1P3
Q969E4	TCEAL3
Q5QJE6	DNTTIP2
Q6NUS6	TCTN3
Q9Y2B5	VPS9D1
Q8IUE0	TGIF2LY
Q7Z6K1	THAP5
Q9HCD6	TANC2
Q9P031	CCDC59
Q6P1N9	TATDN1
A6NDS4	TBC1D3B
Q6IPX1	TBC1D3C
B9ZVM9	TCP10L2
Q9UKN8	GTF3C4
Q9Y5Q8	GTF3C5
Q9Y4F4	TOGARAM1
Q6ZUX3	TOGARAM2
Q9P2Z0	THAP10
A0A1W2PP97	THSD8
Q5SRD1	TIMM23B
Q53EQ6	TIGD5
Q96CP7	TLCD1
Q96AN5	TMEM143
Q8WY98	TMEM234
Q8WVE6	TMEM171
A8MWL7	TMEM14DP
Q8IY51	TIGD4
O60830	TIMM17B
Q96A98	PTH2
Q6P9B6	TLDC1
Q8IV31	TMEM139
Q53S58	TMEM177
Q7Z2V1	C16orf82
P0CAT3	TLX1NB
Q9Y5M6	OCLM
Q6ZP80	TMEM182
Q9UL33	TRAPPC2L
Q96IK0	TMEM101
Q8NE00	TMEM104
A6NFC5	TMEM235
Q5BJH2	TMEM128
Q5SV17	TMEM240
Q24JQ0	TMEM241
Q6UXN7	TOMM20L
Q8N6T0	TOP6BL
Q8WVP5	TNFAIP8L1
Q6NT04	TIGD7
Q96B96	TMEM159
Q9NX00	TMEM160
Q6ZWK6	TMPRSS11F
Q969S6	TMEM203
Q9BVK8	TMEM147
Q96B77	TMEM186
Q9P0S9	TMEM14C
Q9NWH2	TMEM242
Q9BU79	TMEM243
Q5VVB8	TMEM244
Q86UB9	TMEM135
Q8N8V8	TMEM105
Q9H0V1	TMEM168
Q96AQ2	TMEM125
Q8WZ59	TMEM190
A5PLN9	TRAPPC13
Q16473	TNXA
Q96GX1	TCTN2
O15482	TEX28
Q5JUR7	TEX30
O43247	TEX33
Q5T0J7	TEX35
Q5VZQ5	TEX36
Q96LM6	TEX37
Q6PEX7	TEX38
Q6ZNM6	TEX43
Q8TBZ9	TEX47
A0A1B0GUV7	TEX48
A0A1B0GU33	TEX53
A0A1B0GVG6	TEX54
Q9C0I4	THSD7B
Q9P2T0	THEG
Q96I45	TMEM141
Q96HH4	TMEM169
Q5W0B7	TMEM236
Q9BTD3	TMEM121
Q14656	TMEM187
C9JI98	TMEM238
Q5HYL7	TMEM196
Q92545	TMEM131
Q9BRR3	TMEM246
Q96HE8	TMEM80
Q96N35	LINC00052
Q9HCN3	TMEM8A
Q6ZNR0	TMEM91
Q6ZT21	TMPPE
Q7RTY8	TMPRSS7
Q86WS5	TMPRSS12
Q3KNT9	TMEM95
Q8N816	TMEM99
Q9NQ34	TMEM9B
Q5T215	TRAPPC3L
Q8WTV1	THAP3
Q6PF06	TRMT10B
Q8WUU8	TMEM174
Q8WW34	TMEM239
Q2WGJ8	TMEM249
Q9BSN7	TMEM204
A6NLX4	TMEM210
Q6ICI0	TMEM211
Q9H1K6	TLNRD1
Q9NZ63	C9orf78
Q9GZU3	TMEM39B
Q7Z402	TMC7
P56557	TMEM50B
Q6P7N7	TMEM81
Q9H1E5	TMX4
A2RUT3	TMEM89
Q71RG4	TMUB2
Q96B49	TOMM6
P0DKB5	TPBGL
A0PJX4	SHISA3
Q6ZSJ9	SHISA6
Q3SXP7	SHISAL1
Q8N6I4	TMEM251
A0A087WTH1	TMEM265
A0A1B0GVV1	SMIM35
Q6UE05	TMEM270
A0A096LP01	SMIM26
Q9Y6J3	SMAD5-AS1
Q6PL24	TMED8
Q6P435	null
Q3B7S5	SMIM21
Q8WVI0	SMIM4
O75324	SNN
G3V0H7	SLCO1B7
B1AK76	SNURFL
Q69YG0	TMEM42
Q9H2Y9	SLCO5A1
Q5VWJ9	SNX30
Q8WYJ6	SEPT1
Q6XE38	SCGB1D4
Q9UJC5	SH3BGRL2
Q8N7C4	TMEM217
Q86XT9	TMEM219
A6NGB7	TMEM221
Q96DD7	SHISA4
A6NKF7	TMEM88B
Q96EY4	TMA16
Q8WW01	TSEN15
P59797	SELENOV
O75920	SERF1A
A8K8P3	SFI1
A4FU49	SH3D21
O95562	SFT2D2
Q5VZ18	SHE
Q9BZW5	TM6SF1
A6NKW6	SHISAL2B
A0A0B4J2F2	SIK1B
A0A1B0GW64	SMIM33
Q08AF3	SLFN5
A8MYB1	TMCO5B
Q9BZL3	SMIM3
A6NGZ8	SMIM9
Q9Y343	SNX24
Q8IYR2	SMYD4
Q9Y5W9	SNX11
Q8TEQ0	SNX29
Q12872	SFSWAP
Q6UW10	SFTA2
Q96HL8	SH3YL1
Q6GV28	TMEM225
Q9BZQ2	SHCBP1L
Q9BTD1	SHANK2-AS3
P61165	TMEM258
Q9NX78	TMEM260
Q2M3C6	TMEM266
P0DMW4	SMIM10L2A
P0DMW5	SMIM10L2B
Q4G0N8	SLC9C1
Q8IW52	SLITRK4
Q9Y3A6	TMED5
O00193	SMAP
A6NH21	SERINC4
Q8TD22	SFXN5
Q8TD33	SCGB1C1
Q6P4A7	SFXN4
Q96LW2	SGK494
Q68D42	TMEM215
A2RU14	TMEM218
H0YL14	TMEM250
Q5SQS7	SH2D4B
Q8TBM7	TMEM254
E9PQX1	TMEM262
O15466	ST8SIA5
Q96HG1	SMIM10
Q8NCS4	TMEM35B
Q8WV19	SFT2D1
Q9P0N5	TMEM216
Q9P2F8	SIPA1L2
Q6QAJ8	TMEM220
Q8N2U0	TMEM256
P0DJ93	SMIM13
Q9H106	SIRPD
Q53FP2	TMEM35A
Q9NRQ5	SMCO4
O43761	SYNGR3
Q9BXW3	SNHG12
Q6ZV89	SH2D5
A6NL88	SHISA7
A6NMB1	SIGLEC16
Q8N7X8	SIGLECL1
Q0VDI3	TMEM267
P0DMW3	SMIM10L1
Q96QK8	SMIM14
O75264	SMIM24
Q6AI14	SLC9A4
Q9P270	SLAIN2
Q499Z3	SLFNL1
Q5VYV7	SLX4IP
Q6UXY8	TMC5
P0DPE8	SMIM34B
Q8WW62	TMED6
Q9Y3B3	TMED7
Q9BY10	SLC46A2
Q5SRN2	TSBP1
Q96PP4	TSGA13
O95858	TSPAN15
Q9H1Z9	TSPAN10
A1L157	TSPAN11
P0CW01	TSPY10
Q9UJK0	TSR3
Q8NBP0	TTC13
Q8NDW8	TTC21A
Q96AY4	TTC28
Q5SRH9	TTC39A
A2A3L6	TTC24
Q6P3X3	TTC27
A8MYJ7	TTC34
Q92623	TTC9
Q8N6N2	TTC9B
Q86TZ1	TTC6
Q6NXR4	TTI2
Q9BZA0	TTTY10
Q9BZ98	TTTY12
A0A0B4J264	TRAV38-1
A0A087WSZ9	TRAV30
A0A0B4J273	TRAV34
A0A0B4J280	TRAV40
A0A577	TRBV4-1
A0A539	TRBV4-2
A0A0A6YYK1	TRAV8-1
A0A597	TRBV5-5
A0A5A2	TRBV5-8
A0A075B6T8	TRAV9-1
A0A087WT02	TRAV9-2
A0A087WT03	TRAV26-1
A0A0B4J265	TRAV26-2
A0A0A6YYD4	TRBV13
A0A087X0M5	TRBV18
A0A075B6N1	TRBV19
A0A075B6N3	TRBV24-1
A0A0J9YWL9	TEX13C
A0A0J9YY54	TEX13D
Q9Y6I9	TEX264
Q9Y5L4	TIMM13
Q8NCL8	TMEM116
Q9NPI0	TMEM138
Q7Z5S9	TMEM144
A6PVC2	TTLL8
Q3SXZ7	TTLL9
A6NNM8	TTLL13P
Q9BTX7	TTPAL
Q9BZ97	TTTY13
A0A5B7	TRBV29-1
A0A0B4J268	TRAV4
Q96ET8	TVP23C
A0A0K0K1A5	TRBV6-5
A0A1B0GX95	TRBV7-4
A0A087WV62	TRBV16
A0A0K0K1A3	TRBV10-1
A0A0K0K1G8	TRBV10-2
A0A5A6	TRBV11-3
P01733	TRBV12-3
A0A0B4J2E0	TRBV12-4
A0A1B0GX78	TRBV12-5
Q8TAI1	TYMSOS
Q16560	SNRNP35
Q8NG11	TSPAN14
Q9Y5U2	TSSC4
Q9H489	TSPY26P
Q96PN8	TSSK3
Q9UJ04	TSPYL4
Q6PF05	TTC23L
Q86WT1	TTC30A
Q96NG3	TTC25
Q49AM3	TTC31
Q5I0X7	TTC32
Q5R3I4	TTC38
Q6P2S7	TTC41P
Q8N841	TTLL6
Q8NHH1	TTLL11
Q5BVD1	TTMP
Q9BSA4	TTYH2
P01858	null
A0A0B4J275	TRAV17
A0A075B6X5	TRAV18
A0A0A6YYK7	TRAV19
A0A0B4J277	TRAV22
A0A075B6W5	TRAV23DV6
A0A0B4J272	TRAV24
P04437	TRAV29DV5
A0A0B4J234	TRAV2
P0DPF4	TRAV35
A0A075B6V5	TRAV36DV7
A0A0B4J263	TRAV39
A0A0B4J244	TRAV3
A6NH52	TVP23A
A0A0B4J266	TRAV41
Q9NYZ1	TVP23B
A0A0B4J249	TRAV5
A0A0B4J237	TRAV8-2
P01737	TRAV8-4
A0A0B4J262	TRAV8-6
